lic_ticker,lic_name,year,annual_report_filename,lic_id
AFI,Australian Foundation Investment Company Limited,2013,AFI - Annual Report - 2013,
AFI,Australian Foundation Investment Company Limited,2014,AFI - Annual Report - 2014,
AFI,Australian Foundation Investment Company Limited,2015,AFI - Annual Report - 2015,
AFI,Australian Foundation Investment Company Limited,2016,AFI - Annual Report - 2016,
AFI,Australian Foundation Investment Company Limited,2017,AFI - Annual Report - 2017,
AFI,Australian Foundation Investment Company Limited,2018,AFI - Annual Report - 2018,
AFI,Australian Foundation Investment Company Limited,2019,AFI - Annual Report - 2019,
AFI,Australian Foundation Investment Company Limited,2020,AFI - Annual Report - 2020,
AFI,Australian Foundation Investment Company Limited,2021,AFI - Annual Report - 2021,
AFI,Australian Foundation Investment Company Limited,2022,AFI - Annual Report - 2022,
ARG,Argo Investments Limited,2013,ARG - Annual Report - 2013,
ARG,Argo Investments Limited,2014,ARG - Annual Report - 2014,
ARG,Argo Investments Limited,2015,ARG - Annual Report - 2015,
ARG,Argo Investments Limited,2016,ARG - Annual Report - 2016,
ARG,Argo Investments Limited,2017,ARG - Annual Report - 2017,
ARG,Argo Investments Limited,2018,ARG - Annual Report - 2018,
ARG,Argo Investments Limited,2019,ARG - Annual Report - 2019,
ARG,Argo Investments Limited,2020,ARG - Annual Report - 2020,
ARG,Argo Investments Limited,2021,ARG - Annual Report - 2021,
ARG,Argo Investments Limited,2022,ARG - Annual Report - 2022,
WAM,WAM Capital Limited,2013,WAM - Annual Report - 2013,
WAM,WAM Capital Limited,2014,WAM - Annual Report - 2014,
WAM,WAM Capital Limited,2015,WAM - Annual Report - 2015,
WAM,WAM Capital Limited,2016,WAM - Annual Report - 2016,
WAM,WAM Capital Limited,2017,WAM - Annual Report - 2017,
WAM,WAM Capital Limited,2018,WAM - Annual Report - 2018,
WAM,WAM Capital Limited,2019,WAM - Annual Report - 2019,
WAM,WAM Capital Limited,2020,WAM - Annual Report - 2020,
WAM,WAM Capital Limited,2021,WAM - Annual Report - 2021,
WAM,WAM Capital Limited,2022,WAM - Annual Report - 2022,
WLE,WAM Leaders Limited,2017,WLE - Annual Report - 2017,
WLE,WAM Leaders Limited,2018,WLE - Annual Report - 2018,
WLE,WAM Leaders Limited,2019,WLE - Annual Report - 2019,
