lic_ticker,lic_name,year,dividend_income,distribution_income,foreign_income,dividends_paid_short,interest_income,interest_paid,total_income,dividends_paid,lic_id
AFI,Australian Foundation Investment Company Limited,2014,244715000,0,0,0,5886000,19830000,230771000,226336000,
AFI,Australian Foundation Investment Company Limited,2015,309469000,0,0,0,3680000,14993000,298156000,241486000,
AFI,Australian Foundation Investment Company Limited,2016,244660000,0,0,0,3187000,13125000,234722000,258610000,
AFI,Australian Foundation Investment Company Limited,2017,259553000,0,0,0,1668000,12550000,248671000,267751000,
AFI,Australian Foundation Investment Company Limited,2018,243605000,0,0,0,1347000,848000,244104000,278054000,
AFI,Australian Foundation Investment Company Limited,2019,366436000,0,0,0,3663000,826000,369273000,372670000,
AFI,Australian Foundation Investment Company Limited,2020,255492000,0,0,0,1573000,1047000,256018000,281527000,
AFI,Australian Foundation Investment Company Limited,2021,196351000,0,0,0,116000,1831000,194636000,282473000,
AFI,Australian Foundation Investment Company Limited,2022,287431000,0,0,0,61000,845000,286647000,283554000,
AFI,Australian Foundation Investment Company Limited,2023,320485000,0,0,0,3714000,1265000,322934000,296702000,
ARG,Argo Investments Limited,2014,184387000,0,0,0,6807000,0,191194000,174068000,
ARG,Argo Investments Limited,2015,212293000,0,0,0,4798000,0,217091000,189051000,
ARG,Argo Investments Limited,2016,197207000,0,0,0,2164000,0,199371000,204906000,
ARG,Argo Investments Limited,2017,218617000,0,0,0,3519000,0,222136000,208985000,
ARG,Argo Investments Limited,2018,214985000,0,0,0,5315000,0,220300000,218842000,
ARG,Argo Investments Limited,2019,270500000,0,0,0,5400000,0,275900000,227418000,
ARG,Argo Investments Limited,2020,226808000,0,0,0,3552000,0,230360000,236384000,
ARG,Argo Investments Limited,2021,163322000,0,0,0,730000,0,164052000,202022000,
ARG,Argo Investments Limited,2022,249508000,0,0,0,323000,0,249831000,217854000,
ARG,Argo Investments Limited,2023,258219000,0,0,0,4568000,0,262787000,251745000,
WAM,WAM Capital Limited,2014,15706917,0,0,0,7604934,0,23311851,40987485,
WAM,WAM Capital Limited,2015,17869056,0,0,0,8595285,0,26464341,53444329,
WAM,WAM Capital Limited,2016,18511030,0,0,0,7785747,0,26296777,65504076,
WAM,WAM Capital Limited,2017,26806200,0,0,0,8475660,0,35281860,87561815,
WAM,WAM Capital Limited,2018,27955581,0,0,0,7468206,0,35423787,98283168,
WAM,WAM Capital Limited,2019,32001949,0,0,0,7329164,0,39331113,110094088,
WAM,WAM Capital Limited,2020,23775239,0,0,0,3175482,0,26950721,111542114,
WAM,WAM Capital Limited,2021,89575572,0,0,0,475969,0,90051541,126456778,
WAM,WAM Capital Limited,2022,25433075,0,0,0,979908,0,26412983,153237585,
WAM,WAM Capital Limited,2023,35521564,0,0,0,6136058,0,41657622,169096509,
WLE,WAM Leaders Limited,2017,7690254,0,0,0,2882378,0,10572632,4097812,
WLE,WAM Leaders Limited,2018,16133531,0,0,0,2050416,0,18183947,31589405,
WLE,WAM Leaders Limited,2019,33545758,0,0,0,1677007,0,35222765,38323145,
WLE,WAM Leaders Limited,2020,29137398,0,0,0,737104,0,29874502,49033905,
WLE,WAM Leaders Limited,2021,21373711,0,0,0,122723,0,21496434,56385958,
WLE,WAM Leaders Limited,2022,78239822,0,0,0,161179,0,78401001,77329073,
WLE,WAM Leaders Limited,2023,60019940,7145257,0,0,1872343,0,69037540,100311851,
LSF,L1 Long Short Fund Limited,2018,7666000,0,0,306000,2587000,696000,9251000,0,
LSF,L1 Long Short Fund Limited,2019,42050000,743000,0,21931000,12643000,12201000,21304000,0,
LSF,L1 Long Short Fund Limited,2020,30204000,1567000,0,24589000,6051000,14619000,-1386000,0,
LSF,L1 Long Short Fund Limited,2021,46130000,3000,0,13775000,235000,7120000,25473000,9215000,
LSF,L1 Long Short Fund Limited,2022,75556000,0,0,19425000,175000,12532000,43774000,42593000,
LSF,L1 Long Short Fund Limited,2023,62922000,0,0,28420000,22356000,35331000,21527000,58194000,
MFF,MFF Capital Investments Limited,2014,7567000,0,0,0,79000,3992000,3654000,7053000,
MFF,MFF Capital Investments Limited,2015,9951000,0,0,0,69000,2099000,7921000,7330000,
MFF,MFF Capital Investments Limited,2016,14873000,0,0,0,137000,1408000,13602000,9284000,
MFF,MFF Capital Investments Limited,2017,20803000,0,0,0,8000,1980000,18831000,9500000,
MFF,MFF Capital Investments Limited,2018,22423000,0,0,0,689000,829000,22283000,13306000,
MFF,MFF Capital Investments Limited,2019,27299000,0,0,0,809000,2117000,25991000,16239000,
MFF,MFF Capital Investments Limited,2020,24482000,0,0,0,455000,1229000,23708000,133102000,
MFF,MFF Capital Investments Limited,2021,16480000,0,0,0,69000,310000,16239000,33737000,
MFF,MFF Capital Investments Limited,2022,20828000,0,0,0,30000,1338000,19520000,40584000,
MFF,MFF Capital Investments Limited,2023,26828000,0,0,0,2034000,16740000,12122000,49552000,
BKI,BKI Investment Company Limited,2014,36862000,0,0,0,1743000,3000,38602000,33113000,
BKI,BKI Investment Company Limited,2015,42398000,0,0,0,1655000,0,44053000,39057000,
BKI,BKI Investment Company Limited,2016,42242000,0,0,0,1292000,0,43534000,40787000,
BKI,BKI Investment Company Limited,2017,46521000,0,0,0,808000,0,47329000,43552000,
BKI,BKI Investment Company Limited,2018,46561000,0,0,0,898000,0,47459000,45373000,
BKI,BKI Investment Company Limited,2019,73551000,0,0,0,1870000,0,75421000,64122000,
BKI,BKI Investment Company Limited,2020,50727000,0,0,0,729000,0,51456000,60929000,
BKI,BKI Investment Company Limited,2021,41996000,0,0,0,109000,0,42105000,39174000,
BKI,BKI Investment Company Limited,2022,104512000,0,0,0,141000,0,104653000,51800000,
BKI,BKI Investment Company Limited,2023,74318000,0,0,0,1438000,0,75756000,65870000,
AUI,Australian United Investment Company Limited,2014,42294696,0,0,0,1322611,4815162,38802145,32852189,
AUI,Australian United Investment Company Limited,2015,46617218,0,0,0,983285,5054457,42546046,36032304,
AUI,Australian United Investment Company Limited,2016,46477785,0,0,0,875450,4197816,43155419,37212150,
AUI,Australian United Investment Company Limited,2017,47477569,0,0,0,346120,4240382,43583307,41974663,
AUI,Australian United Investment Company Limited,2018,52962220,0,0,0,676532,4938110,48700642,42702823,
AUI,Australian United Investment Company Limited,2019,65535000,0,0,0,1046000,4821000,61760000,44670000,
AUI,Australian United Investment Company Limited,2020,49854000,0,0,0,488000,3276000,47066000,44784000,
AUI,Australian United Investment Company Limited,2021,36398000,0,0,0,50000,1805000,34643000,44894000,
AUI,Australian United Investment Company Limited,2022,58092000,0,0,0,15000,2913000,55194000,45012000,
AUI,Australian United Investment Company Limited,2023,62434000,0,0,0,289000,4515000,58208000,46506000,
DUI,Diversified United Investment Limited,2014,29249000,0,0,0,402000,3293000,26358000,23770000,
DUI,Diversified United Investment Limited,2015,32838000,0,0,0,858000,3541000,30155000,23989000,
DUI,Diversified United Investment Limited,2016,33250000,0,1641000,0,242000,4124000,31009000,28938000,
DUI,Diversified United Investment Limited,2017,34354000,0,1484000,0,264000,4302000,31800000,29101000,
DUI,Diversified United Investment Limited,2018,36691000,0,1991000,0,329000,3962000,35049000,30313000,
DUI,Diversified United Investment Limited,2019,45766000,0,2638000,0,541000,3892000,45053000,32576000,
DUI,Diversified United Investment Limited,2020,34276000,0,3385000,0,328000,2756000,35233000,32737000,
DUI,Diversified United Investment Limited,2021,27037000,0,5147000,0,113000,2639000,29658000,32884000,
DUI,Diversified United Investment Limited,2022,52411000,0,7690000,0,19000,2044000,58076000,33029000,
DUI,Diversified United Investment Limited,2023,45394000,0,4027000,0,283000,5412000,44292000,34410000,
CIN,Carlton Investments Limited,2014,35328000,0,0,0,1176000,12000,36492000,25151000,
CIN,Carlton Investments Limited,2015,37984000,0,0,0,785000,12000,38757000,28063000,
CIN,Carlton Investments Limited,2016,42818000,0,0,0,514000,12000,43320000,29387000,
CIN,Carlton Investments Limited,2017,40624000,0,0,0,421000,12000,41033000,32564000,
CIN,Carlton Investments Limited,2018,42768000,0,0,0,376000,12000,43132000,31505000,
