lic_ticker,lic_name,year,ex_date,payment_date,dividend_type,dividend_phase,cash_amount,franking_level,corp_tax_rate,franking_credit_amount,grossed_up_amount,drp_price,lic_id
AFI,Australian Foundation Investment Company Limited,2014,7/02/2014,21/02/2014,Ordinary,Interim,0.08,1,0.3,0.0343,0.1143,5.86,
AFI,Australian Foundation Investment Company Limited,2014,8/08/2014,29/08/2014,Ordinary,Final,0.14,1,0.3,0.06,0.2,5.93,
AFI,Australian Foundation Investment Company Limited,2015,5/02/2014,20/02/2015,Ordinary,Interim,0.09,1,0.3,0.0386,0.1286,5.97,
AFI,Australian Foundation Investment Company Limited,2015,7/08/2015,28/08/2015,Ordinary,Final,0.14,1,0.3,0.06,0.2,6.03,
AFI,Australian Foundation Investment Company Limited,2016,3/02/2016,19/02/2016,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,5.43,
AFI,Australian Foundation Investment Company Limited,2016,9/08/2016,30/08/2016,Ordinary,Final,0.14,1,0.3,0.06,0.2,5.58,
AFI,Australian Foundation Investment Company Limited,2017,7/02/2017,24/02/2017,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,5.84,
AFI,Australian Foundation Investment Company Limited,2017,8/08/2017,30/08/2017,Ordinary,Final,0.14,1,0.3,0.06,0.2,5.92,
AFI,Australian Foundation Investment Company Limited,2018,8/02/2018,23/02/2018,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,6.11,
AFI,Australian Foundation Investment Company Limited,2018,8/08/2018,31/08/2018,Ordinary,Final,0.14,1,0.3,0.06,0.2,6.18,
AFI,Australian Foundation Investment Company Limited,2019,8/02/2019,25/02/2019,Ordinary,Interim,0.08,1,0.3,0.0343,0.1143,5.93,
AFI,Australian Foundation Investment Company Limited,2019,8/02/2019,25/02/2019,Special,Special,0.1,1,0.3,0.0429,0.1429,5.93,
AFI,Australian Foundation Investment Company Limited,2019,6/08/2019,29/08/2019,Ordinary,Final,0.14,1,0.3,0.06,0.2,6.21,
AFI,Australian Foundation Investment Company Limited,2020,7/02/2020,24/02/2020,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,6.93,
AFI,Australian Foundation Investment Company Limited,2020,11/08/2020,1/09/2020,Ordinary,Final,0.14,1,0.3,0.06,0.2,6.3,
AFI,Australian Foundation Investment Company Limited,2021,8/02/2021,23/02/2021,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,7.1,
AFI,Australian Foundation Investment Company Limited,2021,11/08/2021,31/08/2021,Ordinary,Final,0.14,1,0.3,0.06,0.2,8.1,
AFI,Australian Foundation Investment Company Limited,2022,9/02/2022,25/02/2022,Ordinary,Interim,0.1,1,0.3,0.0429,0.1429,7.86,
AFI,Australian Foundation Investment Company Limited,2022,10/08/2022,30/08/2022,Ordinary,Final,0.14,1,0.3,0.06,0.2,7.56,
AFI,Australian Foundation Investment Company Limited,2023,2/02/2023,24/02/2023,Ordinary,Interim,0.11,1,0.3,0.0471,0.1571,7.29,
AFI,Australian Foundation Investment Company Limited,2023,11/08/2023,1/09/2023,Ordinary,Final,0.14,1,0.3,0.06,0.2,7.03,
