lic_ticker,lic_name,year,expense,expense_category,expense_amount,lic_id
AFI,Australian Foundation Investment Company Limited,2014,Administration expenses (net of recoveries),Other Expenses,9914000,
AFI,Australian Foundation Investment Company Limited,2015,Administration expenses (net of recoveries),Other Expenses,10454000,
AFI,Australian Foundation Investment Company Limited,2016,Administration expenses (net of recoveries),Other Expenses,10055000,
AFI,Australian Foundation Investment Company Limited,2017,Administration expenses (net of recoveries),Other Expenses,9461000,
AFI,Australian Foundation Investment Company Limited,2018,Administration expenses (net of recoveries),Other Expenses,9852000,
AFI,Australian Foundation Investment Company Limited,2019,Administration expenses (net of recoveries),Other Expenses,9583000,
AFI,Australian Foundation Investment Company Limited,2020,Administration expenses (net of recoveries),Other Expenses,9906000,
AFI,Australian Foundation Investment Company Limited,2021,Administration expenses (net of recoveries),Other Expenses,10678000,
AFI,Australian Foundation Investment Company Limited,2022,Administration expenses (net of recoveries),Other Expenses,14294000,
AFI,Australian Foundation Investment Company Limited,2023,Administration expenses (net of recoveries),Other Expenses,12434000,
ARG,Argo Investments Limited,2014,Administration expenses,Other Expenses,7269000,
ARG,Argo Investments Limited,2015,Administration expenses,Other Expenses,7869000,
ARG,Argo Investments Limited,2016,Administration expenses,Other Expenses,7998000,
ARG,Argo Investments Limited,2017,Administration expenses,Other Expenses,8168000,
ARG,Argo Investments Limited,2018,Administration expenses,Other Expenses,8292000,
ARG,Argo Investments Limited,2019,Administration expenses,Other Expenses,8534000,
ARG,Argo Investments Limited,2020,Administration expenses,Other Expenses,9155000,
ARG,Argo Investments Limited,2021,Administration expenses,Other Expenses,8299000,
ARG,Argo Investments Limited,2022,Administration expenses,Other Expenses,9610000,
ARG,Argo Investments Limited,2023,Administration expenses,Other Expenses,10489000,
WAM,WAM Capital Limited,2014,Management Fees,External Management Fees,6165564,
WAM,WAM Capital Limited,2014,Performance Fees,External Performance Fees,1847814,
WAM,WAM Capital Limited,2014,Directors Fees,Other Expenses,170000,
WAM,WAM Capital Limited,2014,Brokerage expense on share purchases,Transaction Costs (Brokerage),2380833,
WAM,WAM Capital Limited,2014,Custody fees,Other Expenses,124355,
WAM,WAM Capital Limited,2014,ASX listing and chess fees,Other Expenses,162465,
WAM,WAM Capital Limited,2014,Share registry fees,Other Expenses,201264,
WAM,WAM Capital Limited,2014,"Disbursements, mailing and printing",Other Expenses,109106,
WAM,WAM Capital Limited,2014,Other expenses from ordinary activities,Other Expenses,180468,
WAM,WAM Capital Limited,2015,Management Fees,External Management Fees,7179167,
WAM,WAM Capital Limited,2015,Performance Fees,External Performance Fees,10276772,
WAM,WAM Capital Limited,2015,Directors Fees,Other Expenses,170000,
WAM,WAM Capital Limited,2015,Brokerage expense on share purchases,Transaction Costs (Brokerage),2999238,
WAM,WAM Capital Limited,2015,Custody fees,Other Expenses,121275,
WAM,WAM Capital Limited,2015,ASX listing and chess fees,Other Expenses,174507,
WAM,WAM Capital Limited,2015,Share registry fees,Other Expenses,203858,
WAM,WAM Capital Limited,2015,"Disbursements, mailing and printing",Other Expenses,108943,
WAM,WAM Capital Limited,2015,Other expenses from ordinary activities,Other Expenses,156058,
WAM,WAM Capital Limited,2016,Management Fees,External Management Fees,9253555,
WAM,WAM Capital Limited,2016,Performance Fees,External Performance Fees,30130705,
WAM,WAM Capital Limited,2016,Directors Fees,Other Expenses,180000,
WAM,WAM Capital Limited,2016,Brokerage expense on share purchases,Transaction Costs (Brokerage),4122592,
WAM,WAM Capital Limited,2016,Custody fees,Other Expenses,95782,
WAM,WAM Capital Limited,2016,ASX listing and chess fees,Other Expenses,187095,
WAM,WAM Capital Limited,2016,Share registry fees,Other Expenses,204978,
WAM,WAM Capital Limited,2016,"Disbursements, mailing and printing",Other Expenses,168869,
WAM,WAM Capital Limited,2016,Legal fees,Other Expenses,53732,
WAM,WAM Capital Limited,2016,Payroll tax,Other Expenses,51600,
WAM,WAM Capital Limited,2016,Other expenses from ordinary activities,Other Expenses,170292,
WAM,WAM Capital Limited,2017,Management Fees,External Management Fees,12198844,
WAM,WAM Capital Limited,2017,Performance Fees,External Performance Fees,0,
WAM,WAM Capital Limited,2017,Directors Fees,Other Expenses,175589,
WAM,WAM Capital Limited,2017,Brokerage expense on share purchases,Transaction Costs (Brokerage),4906503,
WAM,WAM Capital Limited,2017,Custody fees,Other Expenses,79359,
WAM,WAM Capital Limited,2017,ASX listing and chess fees,Other Expenses,197343,
WAM,WAM Capital Limited,2017,Share registry fees,Other Expenses,315945,
WAM,WAM Capital Limited,2017,"Disbursements, mailing and printing",Other Expenses,172161,
WAM,WAM Capital Limited,2017,Legal and professional fees,Other Expenses,163177,
WAM,WAM Capital Limited,2017,Other expenses from ordinary activities,Other Expenses,271676,
WAM,WAM Capital Limited,2018,Management Fees,External Management Fees,13507291,
WAM,WAM Capital Limited,2018,Performance Fees,External Performance Fees,339457,
WAM,WAM Capital Limited,2018,Directors Fees,Other Expenses,150109,
WAM,WAM Capital Limited,2018,Brokerage expense on share purchases,Transaction Costs (Brokerage),5174373,
WAM,WAM Capital Limited,2018,Custody fees,Other Expenses,98734,
WAM,WAM Capital Limited,2018,ASX listing and chess fees,Other Expenses,213988,
WAM,WAM Capital Limited,2018,Share registry fees,Other Expenses,216965,
WAM,WAM Capital Limited,2018,"Disbursements, mailing and printing",Other Expenses,211018,
WAM,WAM Capital Limited,2018,Legal and professional fees,Other Expenses,112069,
WAM,WAM Capital Limited,2018,Other expenses from ordinary activities,Other Expenses,375581,
WAM,WAM Capital Limited,2019,Management Fees,External Management Fees,13682297,
