lic_ticker,lic_name,year_updated,kp_name,kp_year_joined,kp_role_chairman,kp_role_director,kp_role_investmentmanager,kp_role_title,kp_bio,kp_shares_owned,share_price_eoy,kp_share_value,kp_image_saved,kp_image_file_name,lic_id
WHF,Whitefield Industrials Limited,2023,Angus J. Gluskie,1987,Yes,Yes,Yes,Managing Director and Chairman,"Managing Director and Chairman, Member of Nomination Committee, Investment Manager.

Angus was appointed Chief Executive Officer of Whitefield Industrials Limited in 1996 and was appointed as a Director in 2003. Angus has over 35 years experience in the fields of funds management and financial services. Angus is a member of the Institute of Chartered Accountants and a Fellow of the Financial Services Institute of Australasia, and holds a Bachelor of Economics and a Graduate Diploma in Applied Finance and Investment.

Other directorships include Managing Director of Whitefield Capital Management Pty Ltd, and Director Listed Investment Companies and Trusts Association Ltd.",17701927,5.11,90456847,Yes,whf_angus_gluskie,
WHF,Whitefield Industrials Limited,2023,William R. Seddon,2005,No,Yes,Yes,Executive Director,"Member of Nomination Committee, Investment Manager.

Will has over 19 years experience as a wholesale investment manager and analyst, including more than a decade working with Whitefield Industrials. He has significant experience in fundamental analysis, investment strategy and quantitative techniques. Will holds a Bachelor of Economics, is a Chartered Financial Analyst, a Senior Associate of the Financial Services Institute of Australasia and a Chartered Alternative Investment Analyst.

Other directorships include Director of Whitefield Capital Management Pty Ltd.",85382,5.11,436302,Yes,whf_william_seddon,
WHF,Whitefield Industrials Limited,2023,Lance W. Jenkins,2017,No,Yes,No,Non-executive Director,"Member of Audit, Nomination and Remuneration Committees.

Lance has over 25 years of financial markets experience. He has held senior roles with Goldman Sachs JBWere in New York, was CEO and Managing Director of Goldman Sachs JBWere New Zealand, and Head of Cash Equities at the Commonwealth Bank of Australia in Sydney and was an Executive Director of Waterman Capital.

Other directorships include Director of CCA Capital Limited, BePure Health Limited and Stuart Drummond Transport Ltd.",166562,5.11,851132,Yes,whf_lance_jenkins,
WHF,Whitefield Industrials Limited,2023,Mark A. Beardow,2017,No,Yes,No,Non-executive Director,"Member of Audit, Nomination and Remuneration Committees.

Mark has over 25 years experience in investment management and financial markets. He has worked with JP Morgan and UBS, he served as Chief Investment Officer Global Equities and Fixed Income for AMP Capital and Principal of Darling Macro Fund. He is currently CIO, Insurance and Care NSW.

Other directorships include Director of 347 Darling Pty Ltd and Fulham Park Gardens Pty Ltd.",38424,5.11,196347,Yes,whf_mark_beardow,
WHF,Whitefield Industrials Limited,2023,Jenelle B. Webster,2018,No,Yes,No,Non-executive Director,"Member of Audit, Nomination and Remuneration Committees.

Jenelle has over 20 years experience in audit, accounting and financial services. She has worked with Price Waterhouse Coopers, Moore Stephens Australia and Ernst and Young and was previously the Chief Financial Officer of St. Vincent's Private Hospital Sydney. She is currently the Director of Advancement at The Scots College.

Other directorships include Director of Cadence Capital Ltd.",48445,5.11,247554,Yes,whf_jenelle_webster,
WHF,Whitefield Industrials Limited,2023,Peter Borkovec,2008,No,No,Yes,Investment Executive,"Peter has over 19 years experience in wholesale funds management, including more than a decade working with Whitefield. He has significant experience in fundamental analysis, investment strategy, statistics and quantitative techniques.",,,,Yes,whf_peter_borkovec,
MFF,MFF Capital Investments Limited,2023,Annabelle Chaplain AM,2019,Yes,Yes,No,Chairman and Independent Non-executive Director,"Chairman of the Board, Independent Non-executive Director and member of the Audit and Risk Committee. 

Annabelle Chaplain was appointed as a Non-executive Director on 21 May 2019 and Chairman with effect from 1 August 2019. Annabelle brings extensive experience in the financial services, mining, engineering and infrastructure sectors. Annabelle has more than 25 years' experience as a director of government bodies and publicly listed, private and not for profit companies. 

Annabelle is a Director of Seven Group Holdings Limited (since November 2015) and Super Retail Group Ltd (since March 2020). She is also the Chairman of Canstar Pty Ltd, a leading digital intermediary in finance in Australia and New Zealand, Non-executive Director of the Australian Ballet, and Chairman of The Society of the Sacred Advent Schools Pty Ltd. Annabelle was previously a Director of Downer EDI Ltd and Credible Labs Inc. 

In 2015, Annabelle was awarded Griffith University Business School's Outstanding Alumnus of the year and in 2016, in recognition of her distinguished service to banking, finance and the community. She was appointed an AM in the General Division of the Order of Australia in the Australia Day Honours in 2020. 

Annabelle is a Fellow of the Australian Institute of Company Directors and holds an MBA from the University of Melbourne.",476590,2.65,1262964,No,mff_annabelle_chaplain,
MFF,MFF Capital Investments Limited,2023,Robert Fraser,2019,No,Yes,No,Independent Non-executive Director,"Independent Non-executive Director and Chairman of the Audit and Risk Committee. 

Robert Fraser was appointed as a Non-executive Director on 21 May 2019. Robert is a company director and corporate adviser with 35 years of investment banking experience, specialising in mergers and takeovers, corporate and financial analysis, capital management, equity capital markets and corporate governance. 

Robert is currently the Managing Director of TC Corporate Pty Limited, the corporate advisory division of Taylor Collison Limited stockbrokers of which he is a Director and Principal. He is the Non-executive Chairman of ARB Corporation Limited (Non-executive Director since February 2004 and Chairman since September 2022). Robert is also a Non-executive Director of FFI Holdings Limited (since October 2011) and Magellan Financial Group Limited (Non-executive Director since April 2014 and Deputy Chairman since February 2022), where he is Chairman of Magellan Asset Management Limited (Responsible Entity and main operating subsidiary of Magellan) (Non-executive Director since April 2014 and Chairman since June 2019), Chairman of the Audit and Risk Committee and a member of the Remuneration and Nominations Committee. He is the President of the Muscular Dystrophy Association of New South Wales. 

Robert has a Bachelor of Economics and Bachelor of Laws (Hons) degrees from the University of Sydney and is also qualified as a licensed business broker, licensed real estate agent and a registered Tax (financial) Adviser.",598413,2.65,1585794,No,mff_robert_fraser,
MFF,MFF Capital Investments Limited,2023,Chris Mackay,2006,No,Yes,Yes,Managing Director and Portfolio Manager,"Managing Director and Portfolio Manager. 

Chris Mackay was appointed Managing Director and Portfolio Manager of the Company on 1 October 2013. He is a Director of Seven Group Holdings Limited (appointed June 2010) and was a Director of Consolidated Media Holdings (formerly Publishing and Broadcasting) from 2006 until its takeover by News Corporation in November 2012. 

Chris has considerable experience in business management, business assessment, capital allocation, risk management and investment. He became an investment banker in 1988, after being a corporate and banking lawyer, and has broad experience in the financial and corporate sectors. 

Chris co-founded Magellan after retiring as Chairman of the investment bank UBS Australasia in 2006, having previously been its Chief Executive Officer. He was a member of the Federal Treasurer's Financial Sector Advisory Council and the Business Council of Australia, and a director of the International Banks and Securities Association.",112181193,2.65,297280161,No,mff_chris_mackay,
MFF,MFF Capital Investments Limited,2023,Peter Montgomery AM,2019,No,Yes,No,Independent Non-executive Director,"Independent Non-executive Director and member of the Audit and Risk Committee. 

Peter Montgomery was appointed as a Non-executive Director on 21 May 2019. Peter is a graduate in law from Sydney University and is a Sydney solicitor. Peter has had a wide ranging multi decade business career which includes extensive public company experience both as a director and a substantial shareholder in public and private companies whose activities have included radiology, aged care, retirement villages, contract oil and gas drilling, funds management, land development and operating tourism businesses. 

Peter has had an extensive career in sport both as an athlete, and Australian and global roles as an honorary official, including being the Foundation President of the World Olympians Association. Peter received an Order of Australia Medal in 1986 and was awarded an AM in 2006.",371196,2.65,983669,No,mff_peter_montgomery,
PGF,PM Capital Global Opportunities Fund Limited,2023,Chris Knoblanche AM,2019,Yes,Yes,No,Chairman and Independent Non-executive Director,"Chairman and Non-executive Director. Member of the PGF Audit Committee. Member of the PGF Nomination and Corporate Governance Committee.

Mr Knoblanche has over 38 years experience in the financial markets in corporate strategy, financing, risk control and management. Mr Knoblanche's previous executive experience includes serving as Managing Director and Head of Citigroup Corporate and Investment Banking Australia and NZ, partner in Caliburn (now Greenhill Investment Bank) and CEO of Andersen Australia and Andersen Business Consulting  Asia. 

Mr Knoblanche is currently Chairman and Non-executive Director of HiPages Limited, Non-executive Director of Latitude Financial Insurance (Hallmark companies). Boards on which Mr Knoblanche has previously served include: Environment Protection Authority of NSW; iSelect Limited; Aussie Home Loans Limited; Greencross Limited; The Australian Ballet; and Australian Business Arts Foundation. 

Mr Knoblanche holds a Bachelor of Commerce (Accounting and Financial Management) and is a member of Chartered Accountants Australia and New Zealand (CA) and Fellow of the Australian Society of CPA's (FCPA). In 2014 Mr Knoblanche was awarded an Order of Australia (AM) for significant service to arts administration, the community and the business and finance sector. In 2000 Mr Knoblanche was awarded the Centenary Medal by the Australian Government for services to the arts and business.",48819,1.78,86898,Yes,pgf_chris_knoblanche,
