ticker,name,market_cap,listing_year,listing_date,yrs_operating,investment_focus,portfolio_bias,benchmark,management_structure,investment_manager,management_fee,calculated_mer,performance_fee,objective,logo_filename
AFI,Australian Foundation Investment Company Limited,8763239731,1928,1/01/1928,95,Australian Equities,Large Cap,S&P/ASX 200 Accumulation Index,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.16,No Performance Fee,"By investing in a diversified portfolio of primarily ASX-listed large cap Australian Equities, AFIC aims to provide shareholders with attractive investment returns through access to a growing stream of fully franked dividends and enhancement of capital invested over the medium to long term (5+ years).",AFI_Logo
ARG,Argo Investments Limited,6447754050,1946,1/01/1946,77,Australian Equities,Large Cap,S&P/ASX 200 Accumulation Index,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.14,No Performance Fee,"To maximise long-term shareholder returns through reliable fully franked dividend income and capital growth.<br>Actively managing a diversified portfolio of Australian shares with a low-cost, internally managed business model, we apply a conservative, long term investment approach which has proven resilient since 1946.",ARG_Logo
WAM,WAM Capital Limited,1590921142,1999,1/01/1999,24,Australian Equities,Mid & Small Cap,S&P/ASX All Ordinaries Accumulation Index,Externally Managed,Wilson Asset Management (International) Pty Ltd,1.00% plus GST,1.43,20% plus GST,"By investing in an actively managed diversified portfolio of undervalued growth companies listed on the ASX, with a focus on small-to-medium sized businesses, WAM Capital aims to deliver a stream of fully franked dividends, provide capital growth, and preserve capital.",WAM_Logo
WLE,WAM Leaders Limited,1726269875,2016,23/05/2016,7,Australian Equities,Large Cap,S&P/ASX 200 Accumulation Index,Externally Managed,MAM Pty Limited (part of the Wilson Asset Management Group),1.00% plus GST,1.62,20% plus GST,"By investing in an actively managed portfolio of ASX listed large-cap companies with compelling fundamentals, a robust macroeconomic thematic and a catalyst, WAM Leaders objectives are to deliver a stream of fully franked dividends, provide capital growth over the medium-to-long term and preserve capital.",WLE_Logo
LSF,L1 Long Short Fund Limited,1784037958,2018,24/04/2018,5,Global Equities,No Bias,Benchmark Unaware,Externally Managed,L1 Capital,1.40% plus GST,3.9,20% plus GST,"By investing in a portfolio of predominantly Australian and New Zealand companies, with up to 30% invested in global companies, L1 Long Short Fund aims to deliver strong, positive, risk-adjusted returns to investors over the long term.<br>The fund is able to both buy and short-sell securities, which has the intention of providing a flexible strategy to deal with changing stock market conditions.",LSF_Logo
MFF,MFF Capital Investments Limited,1717911871,2006,19/12/2006,17,Global Equities,Large Cap,Benchmark Unaware,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.38,No Performance Fee,"By investing in an actively managed portfolio of a minimum of 20 global public companies, MFF has two broad investing objects:<br>1) To maximise compound risk adjusted after-tax returns for Shareholders, with a focus upon companies assessed to have attractive business characteristic at a discount to their assessed intrinsic values, and<br>2) To minimise the risk of permanent capital loss for Shareholders.",MFF_Logo
BKI,BKI Investment Company Limited,1364802198,2003,12/12/2003,20,Australian Equities,Large & Mid Cap,S&P/ASX 300 Accumulation Index,Externally Managed,Contact Asset Management,0.10% inclusive of GST,0.17,No Performance Fee,"Through research driven active management, BKI takes a long term investment approach in quality, profitable Australian Companies that have a history of and are expected to continue to pay attractive dividends.<br>BKI aims to generate an increasing income stream for distribution to shareholders in the form of fully franked dividends to the extent of available imputation tax credits and also deliver long term capital growth to shareholders.",BKI_Logo
AUI,Australian United Investment Company Limited,1220544496,1953,1/01/1953,70,Australian Equities,Large Cap,S&P/ASX 200 Accumulation Index,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.1,No Performance Fee,"AUI's investment objectives are:<br>1) To create and maintain a diversified portfolio of quality Australian companies, primarily through shares listed on the ASX, with a medium to long term view of providing income and capital appreciation;<br>2) To actively manage the portfolio to monitor and reduce risks and identify market opportunities as they arise; and<br>3) To provide dividend income to shareholders which is sustainable over the long-term, maintaining full franking when possible.",AUI_Logo
DUI,Diversified United Investment Limited,1046620874,1991,1/01/1991,32,Australian Equities,Large Cap,S&P/ASX 200 Accumulation Index,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.12,No Performance Fee,"DUI's investment objectives are:<br>1) To create and maintain a diversified portfolio of quality Australian companies, primarily through shares listed on the ASX and with an exposure to international markets, with a medium to long term view of providing income and capital appreciation;<br>2) To actively review the portfolio to monitor and reduce risks and identify market opportunities as they arise; and<br>3) To provide dividend income to shareholders which is sustainable over the long-term, maintaining full franking when possible.",DUI_Logo
CIN,Carlton Investments Limited,725405947,1928,1/01/1928,95,Australian Equities,Large & Mid Cap,S&P/ASX 200 Accumulation Index,Internally Managed,N/A (Internally Managed),N/A (Internally Managed),0.09,No Performance Fee,"CIN aims to invest in established, well managed Australian listed entities that are anticipated to provide attractive levels of sustainable income and also long term capital growth.<br>CIN also invests in companies that enable a high portion of income to be received as fully franked dividends.<br>Investments are held by group entities for the long term and are generally only disposed of through takeover, mergers or other exceptional circumstances that may arise from time to time.<br>CIN do not act as share traders nor do they invest in speculative stocks.",CIN_Logo
