lic_ticker,lic_name,year,number_shareholders
AFI,Australian Foundation Investment Company Limited,2013,96911
AFI,Australian Foundation Investment Company Limited,2014,103414
AFI,Australian Foundation Investment Company Limited,2015,107774
AFI,Australian Foundation Investment Company Limited,2016,113696
AFI,Australian Foundation Investment Company Limited,2017,119865
AFI,Australian Foundation Investment Company Limited,2018,130615
AFI,Australian Foundation Investment Company Limited,2019,138949
AFI,Australian Foundation Investment Company Limited,2020,153966
AFI,Australian Foundation Investment Company Limited,2021,159883
AFI,Australian Foundation Investment Company Limited,2022,165141
ARG,Argo Investments Limited,2013,70352
ARG,Argo Investments Limited,2014,73808
ARG,Argo Investments Limited,2015,78008
ARG,Argo Investments Limited,2016,80477
ARG,Argo Investments Limited,2017,81631
ARG,Argo Investments Limited,2018,84261
ARG,Argo Investments Limited,2019,86851
ARG,Argo Investments Limited,2020,92630
ARG,Argo Investments Limited,2021,94253
ARG,Argo Investments Limited,2022,96042
WAM,WAM Capital Limited,2013,11398
WAM,WAM Capital Limited,2014,13753
WAM,WAM Capital Limited,2015,17825
WAM,WAM Capital Limited,2016,22564
WAM,WAM Capital Limited,2017,27339
WAM,WAM Capital Limited,2018,30998
WAM,WAM Capital Limited,2019,34534
WAM,WAM Capital Limited,2020,36213
WAM,WAM Capital Limited,2021,43264
WAM,WAM Capital Limited,2022,47229
WLE,WAM Leaders Limited,2017,11325
WLE,WAM Leaders Limited,2018,15180
WLE,WAM Leaders Limited,2019,17633
WLE,WAM Leaders Limited,2020,18395
WLE,WAM Leaders Limited,2021,20239
WLE,WAM Leaders Limited,2022,22654
LSF,L1 Long Short Fund Limited,2018,17929
LSF,L1 Long Short Fund Limited,2019,16678
LSF,L1 Long Short Fund Limited,2020,14195
LSF,L1 Long Short Fund Limited,2021,14506
LSF,L1 Long Short Fund Limited,2022,15373
MFF,MFF Capital Investments Limited,2013,7972
MFF,MFF Capital Investments Limited,2014,9211
MFF,MFF Capital Investments Limited,2015,11162
MFF,MFF Capital Investments Limited,2016,12475
MFF,MFF Capital Investments Limited,2017,12488
MFF,MFF Capital Investments Limited,2018,14121
MFF,MFF Capital Investments Limited,2019,15442
MFF,MFF Capital Investments Limited,2020,17884
MFF,MFF Capital Investments Limited,2021,17382
MFF,MFF Capital Investments Limited,2022,16071
BKI,BKI Investment Company Limited,2013,11752
BKI,BKI Investment Company Limited,2014,13139
BKI,BKI Investment Company Limited,2015,13594
BKI,BKI Investment Company Limited,2016,14358
BKI,BKI Investment Company Limited,2017,14769
BKI,BKI Investment Company Limited,2018,16904
BKI,BKI Investment Company Limited,2019,17604
BKI,BKI Investment Company Limited,2020,18271
BKI,BKI Investment Company Limited,2021,18076
BKI,BKI Investment Company Limited,2022,17375
AUI,Australian United Investment Company Limited,2013,3525
AUI,Australian United Investment Company Limited,2014,3572
AUI,Australian United Investment Company Limited,2015,3607
AUI,Australian United Investment Company Limited,2016,3978
