lic_ticker,lic_name,year,ordering_method,holding_type,holding_name,weight,sector,industry,size,headquartered,lic_id
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,BHP Group Ltd.,9.1,Materials,General Mining,Mega-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Commonwealth Bank of Australia,8.9,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,CSL Ltd.,7.7,Healthcare,Pharmaceuticals,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Macquarie Group Ltd.,4.5,Financials,Investment Services,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Transurban Group,4.4,Industrials,Transportation Services,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Wesfarmers Ltd.,4.2,Consumer Discretionary,Diversified Retailers,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,National Australia Bank Ltd.,3.9,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Westpac Banking Corp.,3.7,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Woolworths Group Ltd.,3.3,Consumer Staples,Food Retailers and Wholesalers,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,James Hardie Industries plc,2.5,Materials,Building Materials: Other,Large-Cap,Ireland,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Rio Tinto Ltd.,2.4,Materials,General Mining,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Telstra Group Ltd.,2.3,Communication Services,Telecommunications Services,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Woodside Energy Group Ltd.,2.3,Energy,Oil: Crude Producers,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Goodman Group,2.2,Real Estate,Diversified REITs,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,ANZ Group Holdings Ltd.,2.2,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Mainfreight ltd.,2.1,Industrials,Transport & Logistics,Mid-Cap,New Zealand,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Coles Group Ltd.,2,Consumer Staples,Food Retailers and Wholesalers,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,CAR Group Ltd.,1.8,Communication Services,Consumer Digital Services,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,Amcor plc,1.8,Materials,Containers and Packaging,Large-Cap,Switzerland,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Holding,ResMed Inc.,1.6,Healthcare,Medical Equipment,Large-Cap,USA,
AFI,Australian Foundation Investment Company Limited,2023,Weight,Cash,Cash & Cash Equivalents,1.9,-,-,-,-,
AFI,Australian Foundation Investment Company Limited,2014,Weight,Holding,Commonwealth Bank of Australia,10.8,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2014,Weight,Holding,Westpac Banking Corp.,9.8,Financials,Banks,Large-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2014,Weight,Holding,BHP Group Ltd.,8.1,Materials,General Mining,Mega-Cap,Australia,
AFI,Australian Foundation Investment Company Limited,2014,Weight,Holding,Wesfarmers Ltd.,5,Consumer Discretionary,Diversified Retailers,Large-Cap,Australia,
