lic_ticker,lic_name,month_year,year,share_price,pre_tax_nta,post_tax_nta,sp_vs_pre_tax_nta,sp_vs_post_tax_nta,lic_id
AFI,Australian Foundation Investment Company Limited,Jan-14,2014,6.1,5.6,4.75,8.93,28.42,
AFI,Australian Foundation Investment Company Limited,Feb-14,2014,6.06,5.78,4.87,4.84,24.44,
AFI,Australian Foundation Investment Company Limited,Mar-14,2014,6,5.8,4.89,3.45,22.7,
AFI,Australian Foundation Investment Company Limited,Apr-14,2014,5.96,5.87,4.94,1.53,20.65,
AFI,Australian Foundation Investment Company Limited,May-14,2014,6.03,5.94,5.01,1.52,20.36,
AFI,Australian Foundation Investment Company Limited,Jun-14,2014,6.18,5.85,4.94,5.64,25.1,
AFI,Australian Foundation Investment Company Limited,Jul-14,2015,6.23,6.08,5.11,2.47,21.92,
AFI,Australian Foundation Investment Company Limited,Aug-14,2015,6.13,5.99,5.02,2.34,22.11,
AFI,Australian Foundation Investment Company Limited,Sep-14,2015,5.95,5.66,4.8,5.12,23.96,
AFI,Australian Foundation Investment Company Limited,Oct-14,2015,5.96,5.89,4.98,1.19,19.68,
AFI,Australian Foundation Investment Company Limited,Nov-14,2015,6.02,5.68,4.85,5.99,24.12,
AFI,Australian Foundation Investment Company Limited,Dec-14,2015,6.05,5.8,4.94,4.31,22.47,
AFI,Australian Foundation Investment Company Limited,Jan-15,2015,6.14,5.94,5.04,3.37,21.83,
AFI,Australian Foundation Investment Company Limited,Feb-15,2015,6.21,6.29,5.27,-1.27,17.84,
AFI,Australian Foundation Investment Company Limited,Mar-15,2015,6.24,6.3,5.29,-0.95,17.96,
AFI,Australian Foundation Investment Company Limited,Apr-15,2015,6.22,6.19,5.22,0.48,19.16,
AFI,Australian Foundation Investment Company Limited,May-15,2015,6.18,6.18,5.23,0,18.16,
AFI,Australian Foundation Investment Company Limited,Jun-15,2015,6.12,5.85,5,4.62,22.4,
AFI,Australian Foundation Investment Company Limited,Jul-15,2016,6.39,6.11,5.18,4.58,23.36,
AFI,Australian Foundation Investment Company Limited,Aug-15,2016,5.9,5.48,4.72,7.66,25,
AFI,Australian Foundation Investment Company Limited,Sep-15,2016,5.7,5.31,4.61,7.34,23.64,
AFI,Australian Foundation Investment Company Limited,Oct-15,2016,5.83,5.54,4.77,5.23,22.22,
AFI,Australian Foundation Investment Company Limited,Nov-15,2016,5.74,5.51,4.78,4.17,20.08,
AFI,Australian Foundation Investment Company Limited,Dec-15,2016,5.95,5.63,4.87,5.68,22.18,
AFI,Australian Foundation Investment Company Limited,Jan-16,2016,5.78,5.31,4.65,8.85,24.3,
AFI,Australian Foundation Investment Company Limited,Feb-16,2016,5.45,5.12,4.51,6.45,20.84,
AFI,Australian Foundation Investment Company Limited,Mar-16,2016,5.53,5.34,4.68,3.56,18.16,
AFI,Australian Foundation Investment Company Limited,Apr-16,2016,5.54,5.55,4.81,-0.18,15.18,
AFI,Australian Foundation Investment Company Limited,May-16,2016,5.64,5.68,4.91,-0.7,14.87,
AFI,Australian Foundation Investment Company Limited,Jun-16,2016,5.61,5.5,4.79,2,17.12,
AFI,Australian Foundation Investment Company Limited,Jul-16,2017,5.92,5.82,5.01,1.72,18.16,
AFI,Australian Foundation Investment Company Limited,Aug-16,2017,5.65,5.59,4.82,1.07,17.22,
AFI,Australian Foundation Investment Company Limited,Sep-16,2017,5.7,5.6,4.84,1.79,17.77,
AFI,Australian Foundation Investment Company Limited,Oct-16,2017,5.73,5.45,4.73,5.14,21.14,
AFI,Australian Foundation Investment Company Limited,Nov-16,2017,5.75,5.6,4.85,2.68,18.56,
AFI,Australian Foundation Investment Company Limited,Dec-16,2017,5.76,5.83,5.01,-1.2,14.97,
AFI,Australian Foundation Investment Company Limited,Jan-17,2017,5.92,5.78,4.98,2.42,18.88,
AFI,Australian Foundation Investment Company Limited,Feb-17,2017,5.74,5.76,4.96,-0.35,15.73,
AFI,Australian Foundation Investment Company Limited,Mar-17,2017,5.76,5.97,5.12,-3.52,12.5,
AFI,Australian Foundation Investment Company Limited,Apr-17,2017,5.81,6.02,5.16,-3.49,12.6,
AFI,Australian Foundation Investment Company Limited,May-17,2017,5.75,5.87,5.05,-2.04,13.86,
AFI,Australian Foundation Investment Company Limited,Jun-17,2017,5.81,5.89,5.07,-1.36,14.6,
AFI,Australian Foundation Investment Company Limited,Jul-17,2018,6.11,5.87,5.06,4.09,20.75,
AFI,Australian Foundation Investment Company Limited,Aug-17,2018,5.87,5.75,4.94,2.09,18.83,
AFI,Australian Foundation Investment Company Limited,Sep-17,2018,5.8,5.73,4.94,1.22,17.41,
AFI,Australian Foundation Investment Company Limited,Oct-17,2018,5.95,5.95,5.09,0,16.9,
AFI,Australian Foundation Investment Company Limited,Nov-17,2018,6.02,6.03,5.15,-0.17,16.89,
AFI,Australian Foundation Investment Company Limited,Dec-17,2018,6.24,6.15,5.24,1.46,19.08,
AFI,Australian Foundation Investment Company Limited,Jan-18,2018,6.31,6.13,5.23,2.94,20.65,
AFI,Australian Foundation Investment Company Limited,Feb-18,2018,6.09,6.03,5.15,1,18.25,
AFI,Australian Foundation Investment Company Limited,Mar-18,2018,6.04,5.83,5.02,3.6,20.32,
AFI,Australian Foundation Investment Company Limited,Apr-18,2018,6,6.02,5.15,-0.33,16.5,
AFI,Australian Foundation Investment Company Limited,May-18,2018,6,6.07,5.19,-1.15,15.61,
AFI,Australian Foundation Investment Company Limited,Jun-18,2018,6.16,6.27,5.34,-1.75,15.36,
AFI,Australian Foundation Investment Company Limited,Jul-18,2019,6.33,6.34,5.4,-0.16,17.22,
AFI,Australian Foundation Investment Company Limited,Aug-18,2019,6.24,6.29,5.34,-0.79,16.85,
AFI,Australian Foundation Investment Company Limited,Sep-18,2019,6.24,6.2,5.3,0.65,17.74,
AFI,Australian Foundation Investment Company Limited,Oct-18,2019,6.06,5.82,5.03,4.12,20.48,
