lic_ticker,lic_name,calendar_year,month,year,month_year,eom_date,sp_gf,sp_mi,share_price,pre_tax_nta,post_tax_nta,sp_vs_pre_tax_nta,sp_vs_post_tax_nta,lic_id
AFI,Australian Foundation Investment Company Limited,2014,January,2014,Jan-14,31-Jan-14,$6.10,$6.10,$6.10,$5.60,$4.75,8.90%,28.40%,
AFI,Australian Foundation Investment Company Limited,2014,February,2014,Feb-14,28-Feb-14,$6.06,$6.06,$6.06,$5.78,$4.87,4.80%,24.40%,
AFI,Australian Foundation Investment Company Limited,2014,March,2014,Mar-14,31-Mar-14,$6.00,$6.00,$6.00,$5.80,$4.89,3.40%,22.70%,
AFI,Australian Foundation Investment Company Limited,2014,April,2014,Apr-14,30-Apr-14,$5.96,$5.96,$5.96,$5.87,$4.94,1.50%,20.60%,
AFI,Australian Foundation Investment Company Limited,2014,May,2014,May-14,30-May-14,$6.03,$6.03,$6.03,$5.94,$5.01,1.50%,20.40%,
AFI,Australian Foundation Investment Company Limited,2014,June,2014,Jun-14,30-Jun-14,$6.18,$6.18,$6.18,$5.85,$4.94,5.60%,25.10%,
AFI,Australian Foundation Investment Company Limited,2014,July,2015,Jul-14,31-Jul-14,$6.23,$6.23,$6.23,$6.08,$5.11,2.50%,21.90%,
AFI,Australian Foundation Investment Company Limited,2014,August,2015,Aug-14,29-Aug-14,$6.13,$6.13,$6.13,$5.99,$5.02,2.30%,22.10%,
AFI,Australian Foundation Investment Company Limited,2014,September,2015,Sep-14,30-Sep-14,$5.95,$5.95,$5.95,$5.66,$4.80,5.10%,24.00%,
AFI,Australian Foundation Investment Company Limited,2014,October,2015,Oct-14,31-Oct-14,$5.96,$5.96,$5.96,$5.89,$4.98,1.20%,19.70%,
AFI,Australian Foundation Investment Company Limited,2014,November,2015,Nov-14,28-Nov-14,$6.02,$6.02,$6.02,$5.68,$4.85,6.00%,24.10%,
AFI,Australian Foundation Investment Company Limited,2014,December,2015,Dec-14,31-Dec-14,$6.05,$6.05,$6.05,$5.80,$4.94,4.30%,22.50%,
AFI,Australian Foundation Investment Company Limited,2015,January,2015,Jan-15,30-Jan-15,$6.14,$6.14,$6.14,$5.94,$5.04,3.40%,21.80%,
AFI,Australian Foundation Investment Company Limited,2015,February,2015,Feb-15,27-Feb-15,$6.21,$6.21,$6.21,$6.29,$5.27,-1.30%,17.80%,
AFI,Australian Foundation Investment Company Limited,2015,March,2015,Mar-15,31-Mar-15,$6.24,$6.24,$6.24,$6.30,$5.29,-1.00%,18.00%,
AFI,Australian Foundation Investment Company Limited,2015,April,2015,Apr-15,30-Apr-15,$6.22,$6.22,$6.22,$6.19,$5.22,0.50%,19.20%,
AFI,Australian Foundation Investment Company Limited,2015,May,2015,May-15,29-May-15,$6.18,$6.18,$6.18,$6.18,$5.23,0.00%,18.20%,
AFI,Australian Foundation Investment Company Limited,2015,June,2015,Jun-15,30-Jun-15,$6.12,$6.12,$6.12,$5.85,$5.00,4.60%,22.40%,
AFI,Australian Foundation Investment Company Limited,2015,July,2016,Jul-15,31-Jul-15,$6.39,$6.39,$6.39,$6.11,$5.18,4.60%,23.40%,
AFI,Australian Foundation Investment Company Limited,2015,August,2016,Aug-15,31-Aug-15,$5.90,$5.90,$5.90,$5.48,$4.72,7.70%,25.00%,
AFI,Australian Foundation Investment Company Limited,2015,September,2016,Sep-15,30-Sep-15,$5.70,$5.70,$5.70,$5.31,$4.61,7.30%,23.60%,
AFI,Australian Foundation Investment Company Limited,2015,October,2016,Oct-15,30-Oct-15,$5.83,$5.83,$5.83,$5.54,$4.77,5.20%,22.20%,
AFI,Australian Foundation Investment Company Limited,2015,November,2016,Nov-15,30-Nov-15,$5.74,$5.74,$5.74,$5.51,$4.78,4.20%,20.10%,
AFI,Australian Foundation Investment Company Limited,2015,December,2016,Dec-15,31-Dec-15,$5.95,$5.95,$5.95,$5.63,$4.87,5.70%,22.20%,
AFI,Australian Foundation Investment Company Limited,2016,January,2016,Jan-16,29-Jan-16,$5.78,$5.78,$5.78,$5.31,$4.65,8.90%,24.30%,
AFI,Australian Foundation Investment Company Limited,2016,February,2016,Feb-16,29-Feb-16,$5.45,$5.45,$5.45,$5.12,$4.51,6.40%,20.80%,
AFI,Australian Foundation Investment Company Limited,2016,March,2016,Mar-16,31-Mar-16,$5.53,$5.53,$5.53,$5.34,$4.68,3.60%,18.20%,
AFI,Australian Foundation Investment Company Limited,2016,April,2016,Apr-16,29-Apr-16,$5.54,$5.54,$5.54,$5.55,$4.81,-0.20%,15.20%,
AFI,Australian Foundation Investment Company Limited,2016,May,2016,May-16,31-May-16,$5.64,$5.64,$5.64,$5.68,$4.91,-0.70%,14.90%,
AFI,Australian Foundation Investment Company Limited,2016,June,2016,Jun-16,30-Jun-16,$5.61,$5.61,$5.61,$5.50,$4.79,2.00%,17.10%,
AFI,Australian Foundation Investment Company Limited,2016,July,2017,Jul-16,29-Jul-16,$5.92,$5.92,$5.92,$5.82,$5.01,1.70%,18.20%,
AFI,Australian Foundation Investment Company Limited,2016,August,2017,Aug-16,31-Aug-16,$5.65,$5.65,$5.65,$5.59,$4.82,1.10%,17.20%,
AFI,Australian Foundation Investment Company Limited,2016,September,2017,Sep-16,30-Sep-16,$5.70,$5.70,$5.70,$5.60,$4.84,1.80%,17.80%,
AFI,Australian Foundation Investment Company Limited,2016,October,2017,Oct-16,31-Oct-16,$5.73,$5.73,$5.73,$5.45,$4.73,5.10%,21.10%,
AFI,Australian Foundation Investment Company Limited,2016,November,2017,Nov-16,30-Nov-16,$5.75,$5.75,$5.75,$5.60,$4.85,2.70%,18.60%,
AFI,Australian Foundation Investment Company Limited,2016,December,2017,Dec-16,30-Dec-16,$5.76,$5.76,$5.76,$5.83,$5.01,-1.20%,15.00%,
AFI,Australian Foundation Investment Company Limited,2017,January,2017,Jan-17,31-Jan-17,$5.92,$5.92,$5.92,$5.78,$4.98,2.40%,18.90%,
AFI,Australian Foundation Investment Company Limited,2017,February,2017,Feb-17,28-Feb-17,$5.74,$5.74,$5.74,$5.76,$4.96,-0.30%,15.70%,
AFI,Australian Foundation Investment Company Limited,2017,March,2017,Mar-17,31-Mar-17,$5.76,$5.76,$5.76,$5.97,$5.12,-3.50%,12.50%,
AFI,Australian Foundation Investment Company Limited,2017,April,2017,Apr-17,28-Apr-17,$5.81,$5.81,$5.81,$6.02,$5.16,-3.50%,12.60%,
AFI,Australian Foundation Investment Company Limited,2017,May,2017,May-17,31-May-17,$5.75,$5.75,$5.75,$5.87,$5.05,-2.00%,13.90%,
AFI,Australian Foundation Investment Company Limited,2017,June,2017,Jun-17,30-Jun-17,$5.81,$5.81,$5.81,$5.89,$5.07,-1.40%,14.60%,
AFI,Australian Foundation Investment Company Limited,2017,July,2018,Jul-17,31-Jul-17,$6.11,$6.11,$6.11,$5.87,$5.06,4.10%,20.80%,
AFI,Australian Foundation Investment Company Limited,2017,August,2018,Aug-17,31-Aug-17,$5.87,$5.87,$5.87,$5.75,$4.94,2.10%,18.80%,
AFI,Australian Foundation Investment Company Limited,2017,September,2018,Sep-17,29-Sep-17,$5.80,$5.80,$5.80,$5.73,$4.94,1.20%,17.40%,
AFI,Australian Foundation Investment Company Limited,2017,October,2018,Oct-17,31-Oct-17,$5.95,$5.95,$5.95,$5.95,$5.09,0.00%,16.90%,
AFI,Australian Foundation Investment Company Limited,2017,November,2018,Nov-17,30-Nov-17,$6.02,$6.02,$6.02,$6.03,$5.15,-0.20%,16.90%,
AFI,Australian Foundation Investment Company Limited,2017,December,2018,Dec-17,29-Dec-17,$6.24,$6.24,$6.24,$6.15,$5.24,1.50%,19.10%,
