lic_ticker,lic_name,year,size_net_assets,lic_id
AFI,Australian Foundation Investment Company Limited,2013,4626692000,
AFI,Australian Foundation Investment Company Limited,2014,5184152000,
AFI,Australian Foundation Investment Company Limited,2015,5446444000,
AFI,Australian Foundation Investment Company Limited,2016,5408541000,
AFI,Australian Foundation Investment Company Limited,2017,5965503000,
AFI,Australian Foundation Investment Company Limited,2018,6339260000,
AFI,Australian Foundation Investment Company Limited,2019,6624746000,
AFI,Australian Foundation Investment Company Limited,2020,6240517000,
AFI,Australian Foundation Investment Company Limited,2021,7559022000,
AFI,Australian Foundation Investment Company Limited,2022,6990489000,
ARG,Argo Investments Limited,2013,3761999000,
ARG,Argo Investments Limited,2014,4288709000,
ARG,Argo Investments Limited,2015,4411404000,
ARG,Argo Investments Limited,2016,4311205000,
ARG,Argo Investments Limited,2017,4716514000,
ARG,Argo Investments Limited,2018,5077148000,
ARG,Argo Investments Limited,2019,5271319000,
ARG,Argo Investments Limited,2020,4722239000,
ARG,Argo Investments Limited,2021,5644413000,
ARG,Argo Investments Limited,2022,5636691000,
WAM,WAM Capital Limited,2013,486738757,
WAM,WAM Capital Limited,2014,596254418,
WAM,WAM Capital Limited,2015,806499635,
WAM,WAM Capital Limited,2016,878749246,
WAM,WAM Capital Limited,2017,1214898458,
WAM,WAM Capital Limited,2018,1323833214,
WAM,WAM Capital Limited,2019,1344417111,
WAM,WAM Capital Limited,2020,1221680985,
WAM,WAM Capital Limited,2021,1697218031,
WAM,WAM Capital Limited,2022,1706710575,
WLE,WAM Leaders Limited,2017,471220638,
WLE,WAM Leaders Limited,2018,836456802,
WLE,WAM Leaders Limited,2019,960266825,
WLE,WAM Leaders Limited,2020,919607879,
WLE,WAM Leaders Limited,2021,1152101079,
WLE,WAM Leaders Limited,2022,1422922260,
LSF,L1 Long Short Fund Limited,2018,1228886000,
LSF,L1 Long Short Fund Limited,2019,1179497000,
LSF,L1 Long Short Fund Limited,2020,1140530000,
LSF,L1 Long Short Fund Limited,2021,1574311000,
LSF,L1 Long Short Fund Limited,2022,1685426000,
MFF,MFF Capital Investments Limited,2013,412439000,
MFF,MFF Capital Investments Limited,2014,464566000,
MFF,MFF Capital Investments Limited,2015,796284000,
MFF,MFF Capital Investments Limited,2016,786402000,
MFF,MFF Capital Investments Limited,2017,953136000,
MFF,MFF Capital Investments Limited,2018,1238193000,
MFF,MFF Capital Investments Limited,2019,1443594000,
MFF,MFF Capital Investments Limited,2020,1361873000,
MFF,MFF Capital Investments Limited,2021,1593562000,
MFF,MFF Capital Investments Limited,2022,1424936000,
BKI,BKI Investment Company Limited,2013,632032000,
BKI,BKI Investment Company Limited,2014,791446000,
BKI,BKI Investment Company Limited,2015,853236000,
BKI,BKI Investment Company Limited,2016,879960000,
BKI,BKI Investment Company Limited,2017,940355000,
BKI,BKI Investment Company Limited,2018,1115615000,
BKI,BKI Investment Company Limited,2019,1155428000,
BKI,BKI Investment Company Limited,2020,1047907000,
BKI,BKI Investment Company Limited,2021,1172392000,
BKI,BKI Investment Company Limited,2022,1171579000,
AUI,Australian United Investment Company Limited,2013,705030750,
AUI,Australian United Investment Company Limited,2014,803769428,
AUI,Australian United Investment Company Limited,2015,795895967,
AUI,Australian United Investment Company Limited,2016,833577773,
AUI,Australian United Investment Company Limited,2017,922466476,
AUI,Australian United Investment Company Limited,2018,981062000,
AUI,Australian United Investment Company Limited,2019,1041890000,
AUI,Australian United Investment Company Limited,2020,933163000,
AUI,Australian United Investment Company Limited,2021,1096219000,
AUI,Australian United Investment Company Limited,2022,1041511000,
DUI,Diversified United Investment Limited,2013,492000000,
DUI,Diversified United Investment Limited,2014,559230000,
DUI,Diversified United Investment Limited,2015,669316000,
DUI,Diversified United Investment Limited,2016,651723000,
DUI,Diversified United Investment Limited,2017,724931000,
DUI,Diversified United Investment Limited,2018,798271000,
DUI,Diversified United Investment Limited,2019,855876000,
DUI,Diversified United Investment Limited,2020,804250000,
DUI,Diversified United Investment Limited,2021,939159000,
DUI,Diversified United Investment Limited,2022,891521000,
CIN,Carlton Investments Limited,2013,595848000,
CIN,Carlton Investments Limited,2014,676574000,
CIN,Carlton Investments Limited,2015,758792000,
CIN,Carlton Investments Limited,2016,776459000,
CIN,Carlton Investments Limited,2017,804180000,
CIN,Carlton Investments Limited,2018,815464000,
CIN,Carlton Investments Limited,2019,811717000,
CIN,Carlton Investments Limited,2020,652515000,
CIN,Carlton Investments Limited,2021,847004000,
CIN,Carlton Investments Limited,2022,819263000,
PL8,Plato Income Maximiser Limited,2017,312667000,
PL8,Plato Income Maximiser Limited,2018,328225,
PL8,Plato Income Maximiser Limited,2019,332145000,
PL8,Plato Income Maximiser Limited,2020,432360000,
PL8,Plato Income Maximiser Limited,2021,484814000,
PL8,Plato Income Maximiser Limited,2022,577632000,
DJW,Djerriwarrh Investments Limited,2013,756177000,
DJW,Djerriwarrh Investments Limited,2014,799143000,
DJW,Djerriwarrh Investments Limited,2015,764802000,
DJW,Djerriwarrh Investments Limited,2016,695058000,
DJW,Djerriwarrh Investments Limited,2017,714883000,
DJW,Djerriwarrh Investments Limited,2018,727721000,
DJW,Djerriwarrh Investments Limited,2019,729618000,
DJW,Djerriwarrh Investments Limited,2020,636845000,
DJW,Djerriwarrh Investments Limited,2021,768709000,
DJW,Djerriwarrh Investments Limited,2022,714364000,
PGF,PM Capital Global Opportunities Fund Limited,2014,164590230,
PGF,PM Capital Global Opportunities Fund Limited,2015,360014191,
PGF,PM Capital Global Opportunities Fund Limited,2016,338531635,
PGF,PM Capital Global Opportunities Fund Limited,2017,410167158,
PGF,PM Capital Global Opportunities Fund Limited,2018,449576312,
PGF,PM Capital Global Opportunities Fund Limited,2019,441075789,
PGF,PM Capital Global Opportunities Fund Limited,2020,410436327,
PGF,PM Capital Global Opportunities Fund Limited,2021,537520034,
PGF,PM Capital Global Opportunities Fund Limited,2022,555149651,
WGB,WAM Global Limited,2019,438047825,
WGB,WAM Global Limited,2020,478753760,
WGB,WAM Global Limited,2021,615174160,
WGB,WAM Global Limited,2022,765345207,
WHF,Whitefield Industrials Limited,2013,289587611,
WHF,Whitefield Industrials Limited,2014,317019745,
WHF,Whitefield Industrials Limited,2015,359678893,
WHF,Whitefield Industrials Limited,2016,342464700,
